Community Board,Cleaning Section,Acceptable Streets %,Acceptable Streets % - Year Ago,Acceptable Streets % - 2 Fiscal Years Ago
1,MN011,97.6,99.5,97.5
,MN013,93.9,98.8,98.5
2,MN021,93.7,97.2,97.3
,MN022,94,98.2,99.1
,MN023,93.2,99.4,100
3,MN031,83.3,87.7,94.4
,MN032,84.9,89.1,95.1
,MN033,87.6,81.9,97
,MN034,88.8,85.4,96.1
4,MN041,97.7,97.7,99.1
,MN042,95.1,96.6,98.6
,MN043,96.2,96.7,97.3
5,MN051,97.4,96.5,96.2
,MN052,94.5,99.8,99
6,MN061,85.6,95.5,98.3
,MN062,98,93.8,98.8
,MN063,97.9,97.7,99.5
7,MN071,99.6,98.5,99
,MN072,99,98,100
,MN073,89.6,98.2,99.4
,MN074,94.4,98.4,98.7
,MN075,94,95.7,98
8,MN081,100,99,100
,MN082,96.6,97.8,100
,MN083,97,96,99.5
,MN084,97.4,94.1,99.5
,MN085,96.7,93.9,99.5
9,MN091,97.9,98.5,98.7
,MN092,89.2,86.9,95.5
,MN093,95,93.7,97.6
10,MN101,77.5,81.3,90.4
,MN103,75,82.1,90.4
,MN104,78.3,81.7,90.3
11,MN111,87.2,85.3,95.9
,MN112,87.6,79.7,89.1
,MN113,83.9,84.7,91.2
12,MN121,83.9,89.3,96.4
,MN122,75.1,83.2,90.2
,MN123,83.6,87.3,94.5
,MN124,82.1,88.5,92.7
1,BKN011,94.1,89.8,95.4
,BKN012,85.1,86.2,92.3
,BKN013,87.2,91.4,93.8
,BKN014,61.2,60.6,79.6
,BKN015,83.8,83.4,93.8
2,BKN021,96.8,96.2,98.9
,BKN022,96.9,97.7,98.2
,BKN023,92.4,97,98.2
,BKN024,91,91.2,97.1
3,BKN031,62.6,75.7,87
,BKN032,66.6,79,87.4
,BKN033,80.2,88,87.2
,BKN034,74.1,87.6,90.4
,BKN035,64.7,79.7,95.7
4,BKN041,86.6,85,94.9
,BKN042,87.5,80.3,95.7
,BKN043,76.9,80.3,97.1
5,BKN051,71.6,81.5,91.6
,BKN052,75.5,86.2,96.4
,BKN053,72.6,81.5,92.2
,BKN054,75.6,85.9,95.6
6,BKS061,87.5,94.4,94.4
,BKS062,87.8,96.9,96.9
,BKS063,90.5,95.4,96.2
,BKS064,92.5,98.3,99.6
,BKS065,88.1,96.3,95.9
7,BKS071,100,99.4,100
,BKS072,93.4,90.1,95
,BKS073,88.4,82,93.8
,BKS074,92.7,78.8,93.3
8,BKN081,75.3,86.2,95.5
,BKN082,73.9,81.3,92.2
,BKN083,63.3,79.7,95.5
9,BKN091,76.8,82.5,96.3
,BKN092,80.4,88.8,95.4
,BKN093,78.9,85.2,97.1
10,BKS101,95.4,92.9,99
,BKS102,97.4,95.5,99.7
,BKS103,94.2,94,98
,BKS104,97.6,96.4,98.3
11,BKS111,85.4,90.6,93.6
,BKS112,88.8,95.5,96.4
,BKS113,87.7,92.2,93.5
,BKS114,93.8,97,95.4
,BKS115,97.2,94.6,98.9
,BKS116,91.3,92,97.1
12,BKS121,73.6,84.8,88.7
,BKS122,57.1,71.8,80.8
,BKS123,69.2,64.8,75.3
,BKS124,73.7,69,83.5
,BKS125,89.1,89.4,92.5
,BKS126,85.1,,
13,BKS131,87.1,91.7,99.7
,BKS132,88,83.1,96.6
14,BKS141,83.7,80.1,92
,BKS142,90.6,90.1,92.9
,BKS143,95.3,96.8,98.6
,BKS144,93.6,91.5,96.5
15,BKS151,89.8,94.7,88.8
,BKS152,92.1,97,95.4
,BKS153,93.1,95.1,97.5
,BKS154,90.2,99,100
,BKS155,94.7,93.9,92.7
16,BKS161,76.7,67.9,92.4
17,BKN171,72.6,84.8,91.6
,BKN172,81.2,96.9,97
,BKN173,81.9,95.8,98.6
,BKN174,66.7,77.8,91.2
,BKN175,73.1,93,95.7
18,BKS181,85,87.3,94.1
,BKS182,87.3,90.9,94.4
,BKS183,92.8,88.2,92.6
,BKS184,95.9,99.1,98.5
,BKS185,94,93.2,93
,BKS186,94.4,93.4,97.5
,BKS187,96.4,96.5,98.1
1,QW011,90.3,97.5,96.2
,QW012,89.3,97.5,97.5
,QW013,88.9,93.7,97.5
,QW014,91.2,92.8,97.7
,QW015,91.6,96.6,96.7
,QW016,79,87,88.8
2,QW021,94,95.2,98.3
,QW022,89.8,92.4,97.9
,QW023,96.1,91.2,94.2
3,QW031,84.2,96.1,96.4
,QW032,84.9,95.4,97.5
,QW033,85.8,93.1,97.3
4,QW041,92.1,95.6,99.4
,QW042,94.2,94,97.7
,QW043,87.8,96.2,97.1
5,QW051,92.5,98.1,96.7
,QW052,87.7,88.6,96.9
,QW053,85.4,88.3,97.3
,QW054,88.1,97.9,98.2
,QW055,88.3,98.3,98.9
6,QW061,97.4,98.3,99
,QW062,99.6,99.4,99.8
7,QE071,89.8,97.6,97.2
,QE072,98.6,98.4,100
,QE073,96.2,98.6,98.2
,QE074,96.4,99.4,100
,QE075,93.7,97.3,98.5
,QE076,97.4,100,99.3
,QE077,95.9,100,100
,QE078,100,100,98.1
8,QE081,99.6,99,99.3
,QE082,95.2,97.2,99.5
,QE083,98.5,98.9,98.2
,QE084,96,96.4,95.8
9,QW091,88.2,93.1,97.5
,QW092,95.6,92.3,94.4
,QW093,97.3,96.8,98.9
,QW094,93.4,93.4,99.5
10,QE101,89.1,98.5,97.7
,QE102,82.9,92.7,93.2
,QE103,82.8,98.6,99.4
,QE104,97.2,100,100
11,QE111,96.7,99.5,100
,QE112,100,100,100
,QE113,99.2,100,100
,QE114,100,100,99.4
,QE115,81.8,100,100
,QE116,99,99,99.3
12,QE121,84.8,92.1,93
,QE122,69.7,91,90
,QE123,77.8,94.2,95
,QE124,91.6,96.1,95.6
,QE125,85.7,98.6,99.5
12,QE126,90.7,97.2,97.6
,QE127,86.8,98.7,98.2
13,QE131,97.6,100,98.7
,QE132,96.3,99.7,100
,QE133,99.1,98.7,96.9
,QE134,95.2,98,93.8
,QE135,97.3,100,99.3
,QE136,96.8,96.4,98.9
,QE137,97.2,97.7,99.3
,QE138,94.1,98.1,94.3
14,QE141,98.8,99.7,100
,QE142,88.6,89.6,97.3
,QE143,91.4,95.4,92.1
1,SI011,94.9,97.8,95.5
,SI012,97.4,97,100
,SI013,95.8,94.4,97.7
,SI014,95.6,97.2,97.9
2,SI021,97.6,98.1,99.3
,SI022,98.3,99.6,100
,SI023,98.1,98.5,99.3
,SI024,95.7,99.6,99.3
3,SI031,99.6,100,100
,SI032,95,99.6,100
,SI033,95.8,100,100
,SI034,100,100,100
,SI035,100,,
,SI036,96.7,,
,SI037,100,,
,SI038,100,,
1,BX011,84.1,86.3,90.4
,BX012,78.5,78.2,85.3
2,BX021,68.7,79.8,90.7
3,BX031,72.8,74.3,88.4
4,BX041,76.3,81.6,95.4
,BX042,73.7,78.8,96
,BX043,70.7,79.2,93.1
5,BX051,79,82.8,93.3
,BX052,80.2,83.2,92.5
,BX053,72.6,74.5,91.3
6,BX061,80.6,88.5,96.2
,BX062,80.8,80.1,95.7
7,BX071,80.6,75.1,92.6
,BX072,86.3,89.1,96.2
,BX073,85.4,86.7,95.5
8,BX081,86.1,91.3,95.1
,BX082,88.1,95.3,97.2
,BX083,93.3,98.1,100
9,BX091,88.5,84.4,94
,BX092,95.1,92.9,97.1
,BX093,98.1,95,98.7
,BX094,91.2,91.8,96.7
10,BX101,91.6,99.3,100
,BX102,99.3,99.6,99.4
,BX103,94.9,96,97.5
11,BX111,84.5,92.1,98.9
,BX112,87.3,95.3,96
,BX113,98.2,94.7,96.5
12,BX121,82.5,91.5,95.3
,BX122,81.8,96.2,94.8
,BX123,90.4,93.7,97.1
,BX124,90.8,93.1,95.5
,BX125,85.7,91.1,96.7